id,goods_sn,name,cate_id,cate_name,scate_id,scate_name,sale_price,limit_price,quotation_price,max_quotation_price,min_quotation_price,unit,spec,brand,origin,expire_date,manufacturer,supplier_id,supplier_name,status,goods_channel,finance_code,finance_rate,float_rate_min,float_rate_max,discount_rate,source
2396,401111,中粮鲜四号肉丁,4,肉,23,猪肉类,,12.54,,,,斤,散装,中粮家佳康,内蒙赤峰,,中粮肉食（北京）有限公司,,,1,0,,0,,,0.1,2
2390,401114,中粮鲜2：8肉馅,4,肉,23,猪肉类,,12.32,,,,斤,散装,中粮家佳康,内蒙赤峰,,中粮肉食（北京）有限公司,,,1,0,,0,,,0.1,2
2317,901107,金龙鱼精选稻花香25kg/袋,5,米,27,稻花香,190,192.5,,190,190,袋,25kg/袋,金龙鱼,哈尔滨,,益海嘉里（北京）粮油工业有限公司,,,1,0,,0,,,0.1,2
2314,402024,正大爆浆鸡排0.64kg*10袋/箱,4,肉,32,禽肉类,,176,,,,箱,0.64kg*10袋/箱,正大,河北秦皇岛,,正大卜蜂食品（北京）有限公司,,,1,0,,0,,,0.1,2
1128,700227,三元益菌多草莓果粒酸奶125ml*8杯/盒,9,奶,36,低温奶,12.5,12.98,,12.5,12.5,盒,125ml*8杯/盒,三元,北京市,,北京三元食品股份有限公司,,,1,0,,0,,,0.1,2
9823,959759,福成鲜A腹肉,4,肉,19,牛肉类,,55,,,,斤,散装,福成,河北,,福成,,,1,0,,0,,,0.1,2
9822,959758,贺淇麦芯颗粒粉10kg/袋,6,面,24,面粉,,41.8,,,,袋,10kg,贺淇,山东,,,,,1,0,,0,,,0.1,2
9821,959757,贺淇麦芯颗粒粉25kg/袋,6,面,24,面粉,,101.2,,,,袋,25kg,贺淇,山东,,,,,1,0,,0,,,0.1,2
9820,959756,粒青香咸鸭蛋6枚/盒,10,蛋,44,鸭蛋,,12.41,,,,盒,6枚/盒,粒青香,河北,,,,,1,0,,0,,,0.1,2
9819,959755,福成精羊肉卷2.5kg/卷,4,肉,30,羊肉类,,203.5,,,,卷,2.5kg/卷,福成,河北,,福成,,,1,0,,0,,,0.1,2
