id,name,cate_id,cate_name,scate_id,scate_name,sale_price,limit_price,unit,spec,supplier_id,supplier_name,status
9005,穆香源冻牛舌25kg/箱,7,水产肉类,40,牛肉类,2140.35,2147,箱,25kg/箱,2,,1
13669,穆香源精品冻肥牛砖25kg/箱,7,水产肉类,40,牛肉类,1972.5,1978.63,箱,25kg/箱,2,,1
14403,卓宸鲜精修牛腩丁2.5kg*8袋/箱,7,水产肉类,40,牛肉类,1689.75,1695,箱,2.5kg*8袋/箱,2,,1
14402,卓宸鲜牛腩块2.5kg*8袋/箱,7,水产肉类,40,牛肉类,1622.16,1627.2,箱,2.5kg*8袋/箱,2,,1
14397,卓宸鲜牛腰窝4-6kg/袋20kg/箱,7,水产肉类,40,牛肉类,1441.92,1446.4,箱,20kg/箱,2,,1
14400,卓宸鲜牛后腿肉块2.5kg*8袋/箱,7,水产肉类,40,牛肉类,1441.92,1446.4,箱,2.5kg*8袋/箱,2,,1
14404,卓宸精品鲜牛肉馅2.5kg*8袋/箱,7,水产肉类,40,牛肉类,1306.74,1310.8,箱,2.5kg*8袋/箱,2,,1
14393,卓宸冻牛碎肉2.5kg*8袋/箱,7,水产肉类,40,牛肉类,968.79,971.8,箱,2.5kg*8袋/箱,2,,1
19512,菽麦道麻辣水煮调味料1kg*18袋/桶,8,油料类,52,汁料类,910.8,935.64,桶,1kg*18袋/桶,2,,1
20509,福成西冷牛排150g*60袋/箱,1,半成品及制成品,17,速冻料理,891.0,915.3,箱,150g*60袋/箱,2,,1
9344,穆香源冻羊肉片10kg/箱,7,水产肉类,43,羊肉类,878.67,881.4,箱,10kg/箱,2,,1
16631,中水海中金墨鱼仔10kg/箱,7,水产肉类,42,水产类,878.67,881.4,箱,10kg/箱,2,,1
16940,中水海中金虾仁（31-40）15-17%冰衣，10kg/箱,7,水产肉类,42,水产类,856.14,858.8,箱,10kg/箱,2,,1
19513,菽麦道老汤焖炖酱1kg*18袋/桶,8,油料类,52,汁料类,831.6,854.28,桶,1kg*18袋/桶,2,,1
19510,菽麦道南乳烧肉调味料1kg*18袋/桶,8,油料类,52,汁料类,831.6,854.28,桶,1kg*18袋/桶,2,,1
19511,菽麦道秘制剁椒酱1kg*18袋/桶,8,油料类,52,汁料类,811.8,833.94,桶,1kg*18袋/桶,2,,1
13297,海和无骨红鱼切身10kg/箱,7,水产肉类,42,水产类,811.08,813.6,箱,10kg/箱,2,,1
9012,窦店益生冻肥牛片10kg/箱,7,水产肉类,40,牛肉类,811.08,813.6,箱,10kg/箱,2,,1
8999,穆香源冻肥牛片10kg/箱,7,水产肉类,40,牛肉类,811.08,813.6,箱,10kg/箱,2,,1
16629,中水海中金蝴蝶汉虾10kg/箱,7,水产肉类,42,水产类,811.08,813.6,箱,10kg/箱,2,,1
16716,窦店益生冻羊肉片10kg/箱,7,水产肉类,43,羊肉类,811.08,813.6,箱,10kg/箱,2,,1
19515,菽麦道爆炒酱1kg*18袋/桶,8,油料类,52,汁料类,772.2,793.26,桶,1kg*18袋/桶,2,,1
17826,福成菲力牛排150g*60袋/箱,1,半成品及制成品,17,速冻料理,745.8,766.14,箱,150g*60袋/箱,2,,1
16643,海和深海无骨鲅鱼10kg/箱,7,水产肉类,42,水产类,743.49,745.8,箱,10kg/箱,2,,1
13298,海和鳕鱼切身10kg/箱,7,水产肉类,42,水产类,720.96,723.2,箱,10kg/箱,2,,1
9356,穆香源冻羔羊肋排块10kg/箱,7,水产肉类,43,羊肉类,690.54,692.69,箱,10kg/箱,2,,1
19514,菽麦道红烧酱1kg*18袋/桶,8,油料类,52,汁料类,673.2,691.56,桶,1kg*18袋/桶,2,,1
15391,中水南美白虾（30-40）1.65kg*6盒/箱,7,水产肉类,42,水产类,615.07,616.98,箱,1.65kg*6盒/箱,2,,1
13632,鲁花5S压榨一级花生油5L*4瓶/箱,8,油料类,51,食用油,611.6,628.28,箱,5L*4瓶/箱,2,,1
19709,福成黑椒牛柳10kg/箱,1,半成品及制成品,17,速冻料理,594.0,610.2,箱,10kg/箱,2,,1
19428,奥昆蛋黄酥饼胚（红豆味）9.75kg/箱,1,半成品及制成品,18,速冻面点,592.9,609.07,箱,9.75kg/箱,2,,1
16942,中水海中金翡翠虾仁，15-17%冰衣，500g*12袋/箱,7,水产肉类,42,水产类,574.52,576.3,箱,12袋/箱,2,,1
17799,福成鲜到家蚝油牛肉片1kg*10袋/箱,1,半成品及制成品,17,速冻料理,572.0,587.6,箱,1kg*10袋/箱,2,,1
13103,大红门鸡翅中（50-60g）10kg/箱,7,水产肉类,41,禽肉类,557.62,559.35,箱,10kg/箱,2,,1
9361,大红门（五肉联）冻肋排10kg/箱,7,水产肉类,44,猪肉类,551.2,552.91,箱,10kg/箱,2,,1
18349,天云丰白芸豆20kg/袋,5,米粮类,31,杂粮,537.84,542.4,袋,20kg/袋,2,,1
13684,鹏程冻25KG箱卷四号25kg/箱,7,水产肉类,44,猪肉类,524.86,526.49,箱,25kg/箱,2,,1
